Wall time,Step,Value
1636029423.2621453,6038,99.84375
1636029423.7254622,6108,99.84375
1636029423.9242635,6138,99.53125
1636029423.9904191,6148,100.0
1636029424.123447,6168,100.0
1636029424.189426,6178,99.84375
1636029425.8507617,6428,99.84375
1636029426.4464035,6518,99.84375
1636029428.894357,6766,100.0
1636029429.430359,6846,99.84375
1636029430.3557155,6986,100.0
1636029430.421511,6996,100.0
1636029431.543805,7166,100.0
1636029433.472355,7456,99.84375
1636029433.605152,7476,100.0
1636029435.1182292,7584,99.84375
1636029436.2475512,7754,100.0
1636029436.5799701,7804,99.84375
1636029438.037077,8024,100.0
1636029438.2366107,8054,100.0
1636029438.570305,8104,100.0
1636029439.3033702,8214,100.0
1636029439.435394,8234,100.0
1636029439.9001095,8304,100.0
1636029440.3005688,8364,100.0
1636029440.7658534,8434,100.0
1636029442.0124795,8502,100.0
1636029442.2109556,8532,99.84375
1636029443.3333166,8702,99.84375
1636029444.1272962,8822,100.0
1636029444.326463,8852,100.0
1636029444.7903836,8922,100.0
1636029445.8502986,9082,100.0
1636029445.9821098,9102,100.0
1636029446.3868372,9162,100.0
1636029446.6572108,9202,100.0
1636029447.8014815,9362,99.84375
1636029449.8505435,9540,99.84375
1636029451.356513,9740,100.0
1636029452.6612241,9920,100.0
1636029452.7954314,9940,100.0
1636029452.937491,9960,99.84375
1636029453.1368902,9990,100.0
1636029453.34447,10020,99.84375
1636029454.5200388,10190,100.0
1636029455.2530215,10300,100.0
1636029457.031951,10448,100.0
1636029459.0062735,10748,100.0
1636029459.1382697,10768,99.84375
1636029460.7228568,11008,99.84375
1636029460.9886334,11048,100.0
1636029461.121503,11068,99.84375
1636029461.5197964,11128,100.0
1636029461.7185135,11158,100.0
1636029461.8510077,11178,99.84375
1636029463.2950516,11276,100.0
1636029463.7609565,11346,100.0
1636029464.619693,11476,100.0
1636029465.148874,11556,100.0
1636029466.0030422,11686,100.0
1636029466.139285,11706,100.0
1636029466.339131,11736,100.0
1636029467.1383753,11856,99.84375
1636029467.4051197,11896,100.0
1636029467.7363768,11946,100.0
1636029467.869003,11966,100.0
1636029468.531319,12066,100.0
1636029468.795704,12106,100.0
1636029471.561646,12404,100.0
1636029471.8926818,12454,99.84375
1636029472.3563902,12524,100.0
1636029475.2660427,12964,100.0
1636029475.7932103,13044,100.0
1636029476.255399,13114,99.84375
1636029955.5118635,30,9.6875
1636029956.4695413,140,10.15625
1636029956.9934764,200,10.3125
1636029957.5182233,260,12.03125
1636029959.449852,480,11.71875
1636029960.4143255,590,9.53125
1636029960.8538463,640,10.0
1636029961.6433954,730,8.125
1636029961.7303798,740,12.03125
1636029962.7724113,860,8.4375
1636029964.6389313,978,9.0625
1636029964.9043512,1008,10.3125
1636029965.7868927,1108,12.34375
1636029969.943282,1578,10.9375
1636029970.3862054,1628,10.3125
1636029970.4742754,1638,11.875
1636029971.3623242,1738,9.84375
1636029978.6564045,2476,10.46875
1636029979.6141582,2586,10.78125
1636029979.7009995,2596,9.84375
1636029979.8761234,2616,12.8125
1636029980.0501094,2636,10.46875
1636029980.3118238,2666,13.59375
1636029980.3992841,2676,12.34375
1636029983.4877012,2934,9.6875
1636029983.9262397,2984,11.5625
1636029984.189857,3014,11.25
1636029984.8879547,3094,9.84375
1636029985.8499322,3204,9.84375
1636029986.636937,3294,10.625
1636029986.9001937,3324,14.84375
1636029986.987151,3334,10.15625
1636029988.3066185,3484,11.25
1636029989.7100995,3644,9.375
1636029990.234162,3704,12.5
1636029990.5841103,3744,13.28125
1636029992.280308,3842,12.03125
1636029992.4580135,3862,11.40625
1636029993.247824,3952,10.9375
1636029993.5992324,3992,11.875
1636029994.1261826,4052,11.875
1636029994.566884,4102,9.6875
1636029996.8706262,4362,11.5625
1636029997.6643665,4452,9.21875
1636029998.9876585,4602,11.40625
1636029999.6039703,4672,12.03125
1636030001.0346751,4740,10.46875
1636030001.3834178,4780,11.71875
1636030001.47017,4790,11.875
1636030003.139242,4980,11.71875
1636030003.4036849,5010,10.3125
1636030003.9333236,5070,10.9375
1636030006.5651524,5370,12.8125
1636030007.0965278,5430,10.0
1636030008.421195,5580,12.03125
1636030008.5962222,5600,10.9375
1636030011.006342,5778,13.28125
1636030011.0951798,5788,8.75
1636030012.7651107,5978,13.28125
1636030012.8524008,5988,10.625
1636030013.1160607,6018,9.6875
1636030013.9048724,6108,10.9375
1636030014.8699932,6218,12.5
1636030017.065824,6468,10.625
1636030017.3286612,6498,11.09375
1636030019.1952772,6616,11.09375
1636030019.4564881,6646,11.09375
1636030019.630348,6666,10.3125
1636030019.8040118,6686,11.5625
1636030020.8566906,6806,10.3125
1636030022.3439553,6976,11.09375
1636030024.1770394,7186,10.78125
1636030024.7918718,7256,11.09375
1636030025.4917066,7336,10.625
1636030025.8418055,7376,12.8125
1636030026.4541538,7446,10.3125
1636030026.5421896,7456,11.09375
1636030026.6293616,7466,11.875
1636030028.4181123,7574,12.34375
1636030030.706074,7834,10.9375
1636030031.1453443,7884,11.875
1636030032.5619066,8044,12.8125
1636030033.531244,8154,9.6875
1636030033.8816798,8194,11.40625
1636030033.9699628,8204,10.0
1636030034.6735792,8284,10.15625
1636030034.9476063,8314,9.53125
1636030035.232333,8344,10.3125
1636030035.5127623,8374,10.78125
1636030037.2964616,8472,12.34375
